  PID TTY          TIME CMD
    1 ?        00:00:02 systemd
    2 ?        00:00:00 kthreadd
    4 ?        00:00:00 kworker/0:0H
    5 ?        00:00:01 kworker/u8:0
    6 ?        00:00:00 mm_percpu_wq
    7 ?        00:00:00 ksoftirqd/0
    8 ?        00:00:07 rcu_sched
    9 ?        00:00:00 rcu_bh
   10 ?        00:00:00 migration/0
   11 ?        00:00:00 watchdog/0
   12 ?        00:00:00 cpuhp/0
   13 ?        00:00:00 cpuhp/1
   14 ?        00:00:00 watchdog/1
   15 ?        00:00:00 migration/1
   16 ?        00:00:00 ksoftirqd/1
   18 ?        00:00:00 kworker/1:0H
   19 ?        00:00:00 cpuhp/2
   20 ?        00:00:00 watchdog/2
   21 ?        00:00:00 migration/2
   22 ?        00:00:00 ksoftirqd/2
   23 ?        00:00:00 kworker/2:0
   24 ?        00:00:00 kworker/2:0H
   25 ?        00:00:00 cpuhp/3
   26 ?        00:00:00 watchdog/3
   27 ?        00:00:00 migration/3
   28 ?        00:00:00 ksoftirqd/3
   30 ?        00:00:00 kworker/3:0H
   31 ?        00:00:00 kdevtmpfs
   32 ?        00:00:00 netns
   33 ?        00:00:00 rcu_tasks_kthre
   34 ?        00:00:00 kauditd
   38 ?        00:00:00 khungtaskd
   39 ?        00:00:00 oom_reaper
   40 ?        00:00:00 writeback
   41 ?        00:00:00 kcompactd0
   42 ?        00:00:00 ksmd
   43 ?        00:00:00 khugepaged
   44 ?        00:00:00 crypto
   45 ?        00:00:00 kintegrityd
   46 ?        00:00:00 kblockd
   48 ?        00:00:00 ata_sff
   49 ?        00:00:00 md
   50 ?        00:00:00 edac-poller
   52 ?        00:00:00 devfreq_wq
   53 ?        00:00:00 watchdogd
   54 ?        00:00:00 kworker/u8:1
   56 ?        00:00:00 kswapd0
   57 ?        00:00:00 kworker/u9:0
   58 ?        00:00:00 ecryptfs-kthrea
  100 ?        00:00:00 kthrotld
  101 ?        00:00:00 acpi_thermal_pm
  106 ?        00:00:00 ipv6_addrconf
  115 ?        00:00:00 kstrp
  132 ?        00:00:00 charger_manager
  195 ?        00:00:00 scsi_eh_0
  196 ?        00:00:00 scsi_tmf_0
  197 ?        00:00:00 scsi_eh_1
  198 ?        00:00:00 scsi_tmf_1
  202 ?        00:00:00 kworker/3:2
  205 ?        00:00:00 kworker/0:1H
  228 ?        00:00:00 jbd2/sda4-8
  229 ?        00:00:00 ext4-rsv-conver
  257 ?        00:00:00 kworker/2:1H
  258 ?        00:00:00 kworker/1:1H
  268 ?        00:00:00 systemd-journal
  269 ?        00:00:00 kworker/3:1H
  288 ?        00:00:00 systemd-udevd
  309 ?        00:00:00 loop0
  310 ?        00:00:00 loop1
  311 ?        00:00:00 loop2
  312 ?        00:00:00 loop3
  313 ?        00:00:00 loop4
  314 ?        00:00:00 loop5
  315 ?        00:00:00 loop6
  316 ?        00:00:00 loop7
  317 ?        00:00:00 loop8
  318 ?        00:00:00 loop9
  319 ?        00:00:00 loop10
  320 ?        00:00:00 loop11
  321 ?        00:00:00 loop12
  323 ?        00:00:00 loop13
  325 ?        00:00:00 loop14
  327 ?        00:00:00 loop15
  329 ?        00:00:00 loop16
  331 ?        00:00:00 loop17
  351 ?        00:00:00 loop18
  352 ?        00:00:00 loop19
  353 ?        00:00:00 loop20
  363 ?        00:00:00 kworker/u9:1
  366 ?        00:00:03 irq/51-DELL0794
  367 ?        00:00:00 irq/128-mei_me
  374 ?        00:00:00 cfg80211
  375 ?        00:00:00 irq/129-iwlwifi
  497 ?        00:00:00 kmemstick
  501 ?        00:00:00 rmi4-poller
  503 ?        00:00:00 ttm_swap
  504 ?        00:00:01 irq/130-i2c_hid
  507 ?        00:00:00 i915/signal:0
  508 ?        00:00:00 i915/signal:1
  509 ?        00:00:00 i915/signal:2
  510 ?        00:00:00 i915/signal:4
  842 ?        00:00:00 systemd-resolve
  845 ?        00:00:00 cupsd
  846 ?        00:00:00 rsyslogd
  847 ?        00:00:00 bluetoothd
  848 ?        00:00:00 cron
  849 ?        00:00:00 accounts-daemon
  850 ?        00:00:00 irqbalance
  860 ?        00:00:01 thermald
  861 ?        00:00:01 snapd
  862 ?        00:00:00 udisksd
  863 ?        00:00:00 ModemManager
  864 ?        00:00:00 systemd-logind
  865 ?        00:00:00 acpid
  866 ?        00:00:00 networkd-dispat
  869 ?        00:00:06 avahi-daemon
  871 ?        00:00:01 dbus-daemon
  894 ?        00:00:01 NetworkManager
  895 ?        00:00:00 wpa_supplicant
  916 ?        00:00:00 polkitd
  934 ?        00:00:00 avahi-daemon
  935 ?        00:00:00 cups-browsed
  954 ?        00:00:00 unattended-upgr
  974 ?        00:00:00 gdm3
  988 ?        00:00:00 gdm-session-wor
 1033 ?        00:00:01 mysqld
 1046 ?        00:00:00 systemd
 1047 ?        00:00:00 (sd-pam)
